[0.000000] (-) TimerEvent: {}
[0.000948] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.001128] (-) JobUnselected: {'identifier': 'calibration'}
[0.001236] (-) JobUnselected: {'identifier': 'camera'}
[0.001327] (-) JobUnselected: {'identifier': 'camera_pkg'}
[0.001414] (-) JobUnselected: {'identifier': 'camera_publisher'}
[0.001574] (-) JobUnselected: {'identifier': 'dashboard'}
[0.001674] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.001767] (-) JobUnselected: {'identifier': 'internal_interface'}
[0.001848] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001926] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.002003] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.002079] (-) JobUnselected: {'identifier': 'particle_filter'}
[0.002154] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.002229] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.002302] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.002377] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.002452] (-) JobUnselected: {'identifier': 'vesc'}
[0.002527] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.002600] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.002703] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.002784] (-) JobUnselected: {'identifier': 'waypoint_generator'}
[0.002864] (-) EventReactorShutdown: {}
